会社名,URL,1行目,2行目,種別,根拠原文（要確認）,出典,確度
日本産業広告社（JIA）,https://www.jia.co.jp/recruitment.html,「未来常識を創造するミラクルアドベンチャー企業になる！」——貴社のこの一文を拝見し、心を動かされました。,WordPress実装やHTML/CSSでのデザイン再現を中心に、コーポレートサイト・採用サイト・LPを10〜30件ほど制作してきました。貴社のご制作をご一緒できればと思い、ご連絡いたしました。,直接引用（理念・想いページより）,未来常識を創造するミラクルアドベンチャー企業になる！,"https://jia.co.jp/about.html , https://jia.co.jp/strong.html",高
ノーサイド,http://www.noside.vc/recruit/external.html,貴社の「良質なクリエイティブは人を幸せにする」というお考えを拝見し、素直に惹かれました。,コーポレートサイトや採用サイト・LP制作を中心に10〜30件ほど携わってきた者で、HTML/CSSでのデザイン再現とWordPress実装を得意としています。貴社のお力になれればと思い、ご連絡いたしました。,直接引用（理念・想いページより）,良質なクリエイティブは人を幸せにする,"https://www.noside.vc/company/ , http://www.noside.vc/recruit/",高
ノーツデザインオフィス（NDO）,https://www.notes-design.co.jp/partner/,「『デザインのチカラ」という貴社の言葉に、深く共感いたしました。,コーポレートサイト・採用サイト・LP制作の実装（HTML/CSS・WordPress・JavaScript）を10〜30件ほど経験してきました。貴社のものづくりに少しでもお役に立てればと思い、ご連絡差し上げました。,直接引用（理念・想いページより）,『デザインのチカラ,"https://www.notes-design.co.jp/creator/ , https://note.com/notes_design/n/naa214673ac46",高
ぱあとわん,http://www.part-one.jp/job/,貴社が大切にされている「常に新しい技術を取り入れ、新しいモノに挑戦し“かたち”にする」という言葉に、感銘を受けました。,WordPress実装やHTML/CSSでのデザイン再現を中心に、コーポレートサイト・採用サイト・LPを10〜30件ほど制作してきました。貴社のご制作をご一緒できればと思い、ご連絡いたしました。,直接引用（理念・想いページより）,常に新しい技術を取り入れ、新しいモノに挑戦し“かたち”にする,"http://www.part-one.jp/profile/ , https://www.part-one.jp/",高
バウハウス（マイモール事業部）,https://www.mymall.co.jp/production-partners,貴社が掲げる「クライアントの事業の支えとなるために、最も適したWebサイトの形を提案することを最優先する」という言葉に、強く共感いたしました。,コーポレートサイトや採用サイト・LP制作を中心に10〜30件ほど携わってきた者で、HTML/CSSでのデザイン再現とWordPress実装を得意としています。貴社のお力になれればと思い、ご連絡いたしました。,直接引用（理念・想いページより）,クライアントの事業の支えとなるために、最も適したWebサイトの形を提案することを最優先する,"https://www.mymall.co.jp/about , https://www.mymall.co.jp/",高
バルクライン,https://balquline.co.jp/#sec06,貴社が空間デザインとWebデザインを両輪に持ち、東京・名古屋・福岡の3拠点で事業を展開されていると知り、ぜひご一緒したいと感じました。,コーポレートサイト・採用サイト・LP制作の実装（HTML/CSS・WordPress・JavaScript）を10〜30件ほど経験してきました。貴社のものづくりに少しでもお役に立てればと思い、ご連絡差し上げました。,事実ベース（要約・引用ではない）,空間デザインとWebデザインを両輪に持ち、東京・名古屋・福岡の3拠点で事業を展開されている,"https://balquline.co.jp/ , https://baseconnect.in/companies/c43ffce7-d58e-479a-beb3-5b77453d3b32",高
バレンサー,https://balencer.jp/join/,貴社の「For Loved Ones. 大切な人のためにどこまでも。」というお考えを拝見し、素直に惹かれました。,WordPress実装やHTML/CSSでのデザイン再現を中心に、コーポレートサイト・採用サイト・LPを10〜30件ほど制作してきました。貴社のご制作をご一緒できればと思い、ご連絡いたしました。,直接引用（理念・想いページより）,For Loved Ones. 大切な人のためにどこまでも。,"https://balencer.jp/about/ , https://web-kanji.com/companies/balencer",高
ピーシースタイル,https://pc-style.co.jp/partner.html,「ITを通じて『人」という貴社の言葉に、深く共感いたしました。,コーポレートサイトや採用サイト・LP制作を中心に10〜30件ほど携わってきた者で、HTML/CSSでのデザイン再現とWordPress実装を得意としています。貴社のお力になれればと思い、ご連絡いたしました。,直接引用（理念・想いページより）,ITを通じて『人,"https://pc-style.co.jp/ , https://web.pc-style.co.jp/",高
ビィー・プランニング,https://www.beplanning.co.jp/recruit/entry/entryform2.html,貴社が大切にされている「少数精鋭！ヒカル企業！」という言葉に、感銘を受けました。,コーポレートサイト・採用サイト・LP制作の実装（HTML/CSS・WordPress・JavaScript）を10〜30件ほど経験してきました。貴社のものづくりに少しでもお役に立てればと思い、ご連絡差し上げました。,直接引用（理念・想いページより）,少数精鋭！ヒカル企業！,"https://www.beplanning.co.jp/about/ , https://web-kanji.com/companies/beplanning",高
Hikidashi,https://hiki-dashi.jp/contact/recruit-form/,貴社が掲げる「メンバーそれぞれが持つ“引き出し”を使って、本質を最大限に引き出すこと」という言葉に、強く共感いたしました。,WordPress実装やHTML/CSSでのデザイン再現を中心に、コーポレートサイト・採用サイト・LPを10〜30件ほど制作してきました。貴社のご制作をご一緒できればと思い、ご連絡いたしました。,直接引用（理念・想いページより）,メンバーそれぞれが持つ“引き出し”を使って、本質を最大限に引き出すこと,"https://hiki-dashi.jp/ , https://hiki-dashi.jp/service/",高
フィールビー,https://feelbee.jp/partners,「Boost Up!! Your Business Growth.」——貴社のこの一文を拝見し、心を動かされました。,コーポレートサイトや採用サイト・LP制作を中心に10〜30件ほど携わってきた者で、HTML/CSSでのデザイン再現とWordPress実装を得意としています。貴社のお力になれればと思い、ご連絡いたしました。,直接引用（理念・想いページより）,Boost Up!! Your Business Growth.,"https://feelbee.jp/about , https://feelbee.jp/",高
フードページ,https://food-page.com/?page_id=2984,貴社の「美味しそう、食べたい！」というお考えを拝見し、素直に惹かれました。,コーポレートサイト・採用サイト・LP制作の実装（HTML/CSS・WordPress・JavaScript）を10〜30件ほど経験してきました。貴社のものづくりに少しでもお役に立てればと思い、ご連絡差し上げました。,直接引用（理念・想いページより）,美味しそう、食べたい！,"https://food-page.com/company-info/ , https://food-page.com/greetings/",高
フォノクラフト,https://phono.co.jp/partner/,「オープンソースWebアプリケーションのドレスアップカンパニー」という貴社の言葉に、深く共感いたしました。,WordPress実装やHTML/CSSでのデザイン再現を中心に、コーポレートサイト・採用サイト・LPを10〜30件ほど制作してきました。貴社のご制作をご一緒できればと思い、ご連絡いたしました。,直接引用（理念・想いページより）,オープンソースWebアプリケーションのドレスアップカンパニー,"https://phono.co.jp/company/ , https://phono.co.jp/partner/",高
フブキ,https://www.fubuki.com/partner/,貴社が大切にされている「コンサルタント、デザイナー、編集ライター、映像作家、マーケター」という言葉に、感銘を受けました。,コーポレートサイトや採用サイト・LP制作を中心に10〜30件ほど携わってきた者で、HTML/CSSでのデザイン再現とWordPress実装を得意としています。貴社のお力になれればと思い、ご連絡いたしました。,直接引用（理念・想いページより）,コンサルタント、デザイナー、編集ライター、映像作家、マーケター,"https://www.fubuki.biz/companyinfo , https://web-kanji.com/companies/fubuki",高
ブレーンセンター,https://saiyo.braincenter.co.jp/data/soho.html,貴社が1975年に出版社として創業され、IRやサステナビリティ広報という専門領域を早くから切り拓かれてきたと知り、ぜひご一緒したいと感じました。,コーポレートサイト・採用サイト・LP制作の実装（HTML/CSS・WordPress・JavaScript）を10〜30件ほど経験してきました。貴社のものづくりに少しでもお役に立てればと思い、ご連絡差し上げました。,事実ベース（要約・引用ではない）,1975年に出版社として創業され、IRやサステナビリティ広報という専門領域を早くから切り拓かれてきた,"https://www.braincenter.co.jp/company/ , https://www.braincenter.co.jp/company/history.html",高
ほむぺじ,https://homupeji.jp/partner/,「クオリティだけでは足りない。コンバージョンの良いデザインをつくることが大事」——貴社のこの一文を拝見し、心を動かされました。,WordPress実装やHTML/CSSでのデザイン再現を中心に、コーポレートサイト・採用サイト・LPを10〜30件ほど制作してきました。貴社のご制作をご一緒できればと思い、ご連絡いたしました。,直接引用（理念・想いページより）,クオリティだけでは足りない。コンバージョンの良いデザインをつくることが大事,"https://homupeji.jp/ , https://web-kanji.com/companies/homupeji",高
ボンデザイン,https://bondesign.jp/recruit/,貴社の「bondesign」というお考えを拝見し、素直に惹かれました。,コーポレートサイトや採用サイト・LP制作を中心に10〜30件ほど携わってきた者で、HTML/CSSでのデザイン再現とWordPress実装を得意としています。貴社のお力になれればと思い、ご連絡いたしました。,直接引用（理念・想いページより）,bondesign,"https://bondesign.jp/about/ , https://bondesign.jp/recruit/",高
マインドファクトリー,https://www.mindfactory.co.jp/company/recruitment,「Webを通して得られる『成果」という貴社の言葉に、深く共感いたしました。,コーポレートサイト・採用サイト・LP制作の実装（HTML/CSS・WordPress・JavaScript）を10〜30件ほど経験してきました。貴社のものづくりに少しでもお役に立てればと思い、ご連絡差し上げました。,直接引用（理念・想いページより）,Webを通して得られる『成果,"https://www.mindfactory.co.jp/company/overview , https://www.mindfactory.co.jp/about",高
マカヤ,https://www.macaya.jp/hp/partner/,貴社が大切にされている「じっくり！見やすい！はっぴぃ！」という言葉に、感銘を受けました。,WordPress実装やHTML/CSSでのデザイン再現を中心に、コーポレートサイト・採用サイト・LPを10〜30件ほど制作してきました。貴社のご制作をご一緒できればと思い、ご連絡いたしました。,直接引用（理念・想いページより）,じっくり！見やすい！はっぴぃ！,"https://www.macaya.jp/hp/about/ , https://www.macaya.jp/hp/company/",高
雅（Miyabi）,https://www.520328.jp/partner/,貴社が掲げる「1社に1人のITコンサルタントを」という言葉に、強く共感いたしました。,コーポレートサイトや採用サイト・LP制作を中心に10〜30件ほど携わってきた者で、HTML/CSSでのデザイン再現とWordPress実装を得意としています。貴社のお力になれればと思い、ご連絡いたしました。,直接引用（理念・想いページより）,1社に1人のITコンサルタントを,"https://www.520328.jp/company/ , https://www.520328.jp/partner/",高
メディアファースト,https://media1st.net/lp/creator,「すべての人のやる気の歯車が噛み合い、世界を良い方にグングン動かしていける社会を作りたい」——貴社のこの一文を拝見し、心を動かされました。,コーポレートサイト・採用サイト・LP制作の実装（HTML/CSS・WordPress・JavaScript）を10〜30件ほど経験してきました。貴社のものづくりに少しでもお役に立てればと思い、ご連絡差し上げました。,直接引用（理念・想いページより）,すべての人のやる気の歯車が噛み合い、世界を良い方にグングン動かしていける社会を作りたい,"https://media1st.net/ , https://media1st.net/lp/creator",高
monomode（モノモード）,https://monomode.co.jp/news/information/partner.html,貴社の「創造を通じて新しい価値と文化を創る」というお考えを拝見し、素直に惹かれました。,WordPress実装やHTML/CSSでのデザイン再現を中心に、コーポレートサイト・採用サイト・LPを10〜30件ほど制作してきました。貴社のご制作をご一緒できればと思い、ご連絡いたしました。,直接引用（理念・想いページより）,創造を通じて新しい価値と文化を創る,"https://monomode.co.jp/ , https://prtimes.jp/main/html/rd/p/000000016.000059456.html",高
ライツワークス,https://reizworks.info/recruit/,「ライツ（Reiz）はドイツ語で『魅力的な、刺激的な」という貴社の言葉に、深く共感いたしました。,コーポレートサイトや採用サイト・LP制作を中心に10〜30件ほど携わってきた者で、HTML/CSSでのデザイン再現とWordPress実装を得意としています。貴社のお力になれればと思い、ご連絡いたしました。,直接引用（理念・想いページより）,ライツ（Reiz）はドイツ語で『魅力的な、刺激的な,"https://reizworks.info/company/ , https://reizworks.info/",高
ライトアップ,https://www.biz4.jp/partner,貴社が大切にされている「全国、全ての中小企業を黒字にする」という言葉に、感銘を受けました。,コーポレートサイト・採用サイト・LP制作の実装（HTML/CSS・WordPress・JavaScript）を10〜30件ほど経験してきました。貴社のものづくりに少しでもお役に立てればと思い、ご連絡差し上げました。,直接引用（理念・想いページより）,全国、全ての中小企業を黒字にする,"https://www.writeup.jp/company/ , https://www.biz4.jp/",高
ライム,https://www.lime78.co.jp/recruit,貴社が掲げる「Web事業部」という言葉に、強く共感いたしました。,WordPress実装やHTML/CSSでのデザイン再現を中心に、コーポレートサイト・採用サイト・LPを10〜30件ほど制作してきました。貴社のご制作をご一緒できればと思い、ご連絡いたしました。,直接引用（理念・想いページより）,Web事業部,"https://www.lime78.co.jp/ , https://web-kanji.com/companies/lime78",高
ラスホート,http://www.guidenet.jp/contact/art_touroku/mailform.php,「人と出会い繋がりを持ち、そこから何かの手助けがしたい」——貴社のこの一文を拝見し、心を動かされました。,コーポレートサイトや採用サイト・LP制作を中心に10〜30件ほど携わってきた者で、HTML/CSSでのデザイン再現とWordPress実装を得意としています。貴社のお力になれればと思い、ご連絡いたしました。,直接引用（理念・想いページより）,人と出会い繋がりを持ち、そこから何かの手助けがしたい,"https://lshort.jp/ , https://taitoku-web.net/",高
リード・サイン,https://rede-sign.jp/partner/,貴社の「ホームページやパンフレットの制作において、一番大切なものはコミュニケーションである」というお考えを拝見し、素直に惹かれました。,コーポレートサイト・採用サイト・LP制作の実装（HTML/CSS・WordPress・JavaScript）を10〜30件ほど経験してきました。貴社のものづくりに少しでもお役に立てればと思い、ご連絡差し上げました。,直接引用（理念・想いページより）,ホームページやパンフレットの制作において、一番大切なものはコミュニケーションである,"https://rede-sign.jp/partner/ , https://rede-sign.jp/",高
リバース,https://rebirth-ad.com/recruit/,「企業の理念や強み、ビジョンを整理し、ブランドとして社会に伝えるブランディングを支援する」という貴社の言葉に、深く共感いたしました。,WordPress実装やHTML/CSSでのデザイン再現を中心に、コーポレートサイト・採用サイト・LPを10〜30件ほど制作してきました。貴社のご制作をご一緒できればと思い、ご連絡いたしました。,直接引用（理念・想いページより）,企業の理念や強み、ビジョンを整理し、ブランドとして社会に伝えるブランディングを支援する,"https://rebirth-ad.com/about-us/ , https://rebirth-ad.com/codingservice/",高
リボンハーツクリエイティブ（RHC）,https://www.rhcnet.com/recruit/,貴社が大切にされている「真理と人生の目的のために働き、学び、そして遊べ」という言葉に、感銘を受けました。,コーポレートサイトや採用サイト・LP制作を中心に10〜30件ほど携わってきた者で、HTML/CSSでのデザイン再現とWordPress実装を得意としています。貴社のお力になれればと思い、ご連絡いたしました。,直接引用（理念・想いページより）,真理と人生の目的のために働き、学び、そして遊べ,"https://www.rhcnet.com/about/ , https://rhcnet.com/service/",高
Linqro（リンクロ）,https://www.linqro.jp/partner.html,貴社が掲げる「女性ならではの感性と知見を活かして広告デザインとサービスを創る」という言葉に、強く共感いたしました。,コーポレートサイト・採用サイト・LP制作の実装（HTML/CSS・WordPress・JavaScript）を10〜30件ほど経験してきました。貴社のものづくりに少しでもお役に立てればと思い、ご連絡差し上げました。,直接引用（理念・想いページより）,女性ならではの感性と知見を活かして広告デザインとサービスを創る,"https://linqro.jp/profile.html , https://linqro.jp/about.html",高
レイ・クリエーション,https://www.raycreation.co.jp/partner/,貴社が情報デザインという考え方を軸に、企業プレゼンテーションからホームページ制作まで手がけられている点に、強く惹かれました。,WordPress実装やHTML/CSSでのデザイン再現を中心に、コーポレートサイト・採用サイト・LPを10〜30件ほど制作してきました。貴社のご制作をご一緒できればと思い、ご連絡いたしました。,事実ベース（要約・引用ではない）,情報デザインという考え方を軸に、企業プレゼンテーションからホームページ制作まで手がけられている,"https://www.raycreation.co.jp/about/ , https://www.raycreation.co.jp/partner/",高
LEFANA（レファーナ）,https://lefana.net/recruit,"貴社が元・東京ガールズコレクションのブランドデザイナーによって創業され、5,000件以上の制作実績を積み重ねてこられたことを拝見し、大変興味を持ちました。",コーポレートサイトや採用サイト・LP制作を中心に10〜30件ほど携わってきた者で、HTML/CSSでのデザイン再現とWordPress実装を得意としています。貴社のお力になれればと思い、ご連絡いたしました。,事実ベース（要約・引用ではない）,"元・東京ガールズコレクションのブランドデザイナーによって創業され、5,000件以上の制作実績を積み重ねてこられた","https://www.lefana.net/company , https://web-kanji.com/companies/lefana",高
ロンキワ（RONKIWA）,https://www.ronkiwa.jp/blog/partner/,「テクノロジーとクリエイティビティで世界をより良くすること」という貴社の言葉に、深く共感いたしました。,コーポレートサイト・採用サイト・LP制作の実装（HTML/CSS・WordPress・JavaScript）を10〜30件ほど経験してきました。貴社のものづくりに少しでもお役に立てればと思い、ご連絡差し上げました。,直接引用（理念・想いページより）,テクノロジーとクリエイティビティで世界をより良くすること,"https://ronkiwa.jp/ , https://www.ronkiwa.jp/blog/ronkiwa-llc-kick-off/",高
ワンクルー（One-clue）,https://www.one-clue.com/recruit_free_coder/,貴社が仙台の女性クリエイターだけで制作チームを構成され、女性目線でのホームページ制作を手がけられている点に、強く惹かれました。,WordPress実装やHTML/CSSでのデザイン再現を中心に、コーポレートサイト・採用サイト・LPを10〜30件ほど制作してきました。貴社のご制作をご一緒できればと思い、ご連絡いたしました。,事実ベース（要約・引用ではない）,仙台の女性クリエイターだけで制作チームを構成され、女性目線でのホームページ制作を手がけられている,"https://www.one-clue.com/ , https://www.one-clue.com/service/",高
クミン,https://cumin.co.jp/news/91/,貴社が掲げる「“やわらか系”WEB会社」という言葉に、強く共感いたしました。,コーポレートサイトや採用サイト・LP制作を中心に10〜30件ほど携わってきた者で、HTML/CSSでのデザイン再現とWordPress実装を得意としています。貴社のお力になれればと思い、ご連絡いたしました。,直接引用（理念・想いページより）,“やわらか系”WEB会社,"https://cumin.co.jp/service/ , https://baseconnect.in/companies/5d10a322-1fb9-497e-b78b-eae98186b40e",高
